X,Y
9072.910761,5001.041995
9015.815612,5007.016151
9352.718608,5000.632375
9216.872208,5006.687345
8735.38806,5009.820896
9625.350168,5003.488215
8707.025988,5010.039501
8925.72409,5013.466387
8747.710583,5012.838013
9275.333333,5007.175649
8800.824818,5006.903285
8947.941645,5008.70557
9600.344725,5006.551263
9535.459909,5008.013616
9300.878571,5011.823214
9456.886076,5013.402532
9476.156677,5010.155626
8671.72276,5016.311138
9182.889254,5008.900219
9434.030945,5014.034202
8868.230241,5010.838488
9088.641921,5017.716157
9140.414179,5015.089552
8519.878914,5013.938413
9243.312874,5016.124251
9506.275568,5018.784659
8973.671906,5019.774067
8566.144623,5020.614339
8832.2745,5019.736788
8877.153646,5026.96875
9386.782374,5021.474221
8786.604061,5022.348562
9156.275744,5023.828375
9418.709278,5026.48866
9121.763158,5023.163534
9348.367568,5022.131532
9047.96626,5026.394113
8495.208756,5027.627538
9097.202899,5040.689685
9272.446873,5032.974378
9578.413242,5025.618721
8616.834715,5026.934024
9302.241042,5030.996743
8546.95053,5034.522968
8762.117552,5030.57971
9325.170616,5035.535545
9222.448029,5031.81362
8863.360825,5037.230241
9355.682779,5037.066465
9637.967347,5031.320408
8903.740971,5036.717933
8962.863029,5038.2049
9004.685039,5035.351706
9451.367067,5034.027444
9195.9676,5047.842943
9612.017905,5042.267905
9549.61548,5046.274187
9661.26935,5042.572755
8568.906494,5043.812987
8702.028466,5045.359963
8790.247847,5052.639606
9236.677485,5052.009128
9404.199095,5052.874434
9163.681507,5052.037671
9353.89916,5050.689076
8945.518919,5051.98018
9438.113027,5056.281609
8740.126356,5057.000542
8848.26462,5057.629386
9071.920366,5050.885117
9307.254206,5053.037383
9587.668192,5058.102975
8477.932635,5056.010479
8575.042918,5063.143777
9053.233871,5058.053763
9329.947773,5060.178187
9291.085595,5060.628392
8519.756757,5057.361239
9473.321678,5053.603147
9501.277469,5062.513873
9260.488455,5060.708703
8924.058333,5064.889815
9012.845784,5066.176036
9132.841549,5058.351526
9080.822622,5071.349614
8766.388618,5074.087805
8551.168345,5074.843885
8811.635762,5069.423841
8857.466667,5079.161905
9051.994924,5081.645939
8499.919067,5081.045267
9284.58,5079.213333
9116.858998,5081.801484
8474.992021,5078.699468
8895.511044,5078.169679
9545.324786,5077.246795
8690.156352,5080.51873
9324.74,5084.28
9353.389134,5080.254772
9650.933931,5081.084474
9484.553106,5083.651303
8969.660439,5077.756296
9179.845295,5078.22807
9385.655,5081.808
8833.199179,5083.330595
9616.598704,5084.397761
9413.329646,5083.221239
9580.44243,5086.776065
9149.731928,5086.879518
9260.871723,5091.615169
9090.893162,5085.133547
9451.754794,5091.851249
8621.700763,5084.053435
8812.635352,5095.372064
9506.897924,5092.16609
8650.113569,5091.182891
8942.884615,5093.530594
8585.510959,5088.228767
8783.004287,5097.212219
8849.341501,5098.180704
8473.296429,5101.039286
8693.502564,5100.85641
9217.718045,5092.522556
8599.710468,5105.048998
8737.911361,5097.696629
9187.925959,5099.676182
8871.228315,5105.229312
9419.42402,5104.267157
8900.673751,5106.594049
9231.701627,5110.177215
9368.231013,5108.322785
9123.834862,5109.96789
9541.31367,5109.918539
9150.79715,5115.134116
9304.327689,5114.273406
8516.164299,5109.453366
8996.933528,5112.678134
9083.381127,5109.781863
8573.421331,5115.052798
8602.167164,5125.691045
9028.811163,5118.112558
8758.36875,5116.56625
8781.353535,5120.866162
8489.687075,5122.020408
9095.76087,5124.210145
9401.416199,5123.036087
9596.157273,5120.024155
8665.999314,5121.586136
