X,Y
3145.8,-2331.19
2974.87,-2337.27
2838.44,-2388.84
2844.23,-2453.68
2942.63,-2418.66
3146.33,-2437.44
3364.69,-2355.74
3425.09,-2278.06
3434.16,-2367.83
3262.18,-2369.39
3339.98,-2441.73
3539.37,-2390.24
3563.6,-2457.14
3587.36,-2507.68
3531.88,-2314.58
3615.67,-2401.99
3482.75,-2436.64
3216.21,-2395.55
3176.72,-2455.08
3247.67,-2531.2
3669.04,-2501.45
3668.29,-2403.32
3416.85,-2500.01
3322.27,-2566.73
3443.46,-2607.68
3756.74,-2470.58
3221.65,-2613.43
3350.17,-2666.45
2975.02,-2604.78
3019.72,-2618.58
2922.8,-2629.93
2907.98,-2658.69
2975.77,-2664.43
3555.86,-2661.55
3511.99,-2703.64
3181.9,-2641.65
3232.32,-2689.03
3072.46,-2714.71
3006.46,-2735.77
3150.56,-2738.69
3300.54,-2732.07
2808.68,-2694.57
2872.56,-2768.32
3591.38,-2744.6
3182.6,-2805.98
2774.13,-2766.84
3560.99,-2820.85
3110.41,-2787.72
3038.54,-2804.17
3062.87,-2829.78
3125.75,-2855.83
2951.72,-2805.89
3621.89,-2860.05
2878.13,-2816.46
3110.65,-2895.7
3256.48,-2895.5
2959.78,-2866.8
3011.67,-2891.31
3077.67,-2920.39
2834.65,-2902.14
2878.87,-2918.16
3457.36,-2870.59
3572.81,-2921.86
3537.13,-2058.68
3629.71,-2080.85
3567.42,-2121.81
3535.28,-2153.01
3666,-2167.93
3626.21,-2195.04
3486.83,-2207.99
3584.37,-2238.11
3383.72,-2225.42
3654.72,-2250.62
3616.12,-2282.84
3698.68,-2298.57
3733.03,-2307.85
3784.26,-2411.54
4128.37,-1999.03
4077.92,-2035.51
4106.66,-2091.95
4052.47,-1917.14
4012.84,-2055.34
3955.61,-2064.01
4126.29,-2146.75
3970.85,-2142.73
4597.4,-2120.56
4509.65,-2124.01
4648.92,-2054.78
4290.85,-2123.51
4325.18,-2246.04
4508.05,-2231.5
4468.03,-2070.1
4415.75,-2067.63
3882.16,-2175.94
3910.83,-2215.19
4026.04,-2211.62
3866.98,-2237.73
3825.26,-2234.4
3988.54,-2293.4
3913.88,-2326.17
