Cell_ID,Cell_class_id,Cell_class_name
394,0,neuron
395,0,neuron
396,0,neuron
397,0,neuron
398,0,neuron
399,0,neuron
400,0,neuron
401,0,neuron
402,0,neuron
403,0,neuron
404,1,glial cells
405,0,neuron
406,0,neuron
407,1,glial cells
408,0,neuron
409,0,neuron
410,1,glial cells
411,0,neuron
412,0,neuron
413,0,neuron
414,0,neuron
415,0,neuron
416,0,neuron
417,1,glial cells
418,0,neuron
419,0,neuron
420,0,neuron
421,0,neuron
422,0,neuron
423,0,neuron
424,0,neuron
425,0,neuron
426,0,neuron
427,0,neuron
428,0,neuron
429,0,neuron
430,0,neuron
431,0,neuron
432,0,neuron
433,0,neuron
434,1,glial cells
435,0,neuron
436,0,neuron
437,0,neuron
438,0,neuron
439,0,neuron
440,0,neuron
441,0,neuron
442,0,neuron
443,0,neuron
444,1,glial cells
445,0,neuron
446,0,neuron
447,0,neuron
448,0,neuron
449,0,neuron
450,0,neuron
451,0,neuron
452,0,neuron
453,0,neuron
454,0,neuron
455,0,neuron
456,0,neuron
457,0,neuron
458,0,neuron
459,0,neuron
460,0,neuron
461,1,glial cells
462,0,neuron
463,0,neuron
464,0,neuron
465,0,neuron
466,0,neuron
467,0,neuron
468,0,neuron
469,1,glial cells
470,0,neuron
471,0,neuron
472,0,neuron
473,0,neuron
474,0,neuron
475,0,neuron
476,1,glial cells
477,0,neuron
478,0,neuron
479,1,glial cells
480,0,neuron
481,0,neuron
482,0,neuron
483,0,neuron
484,1,glial cells
485,0,neuron
486,0,neuron
487,0,neuron
488,0,neuron
489,0,neuron
490,0,neuron
491,0,neuron
492,1,glial cells
493,0,neuron
494,0,neuron
495,1,glial cells
496,1,glial cells
497,0,neuron
498,0,neuron
499,0,neuron
500,0,neuron
501,0,neuron
502,1,glial cells
503,1,glial cells
504,1,glial cells
505,0,neuron
506,0,neuron
507,0,neuron
508,0,neuron
509,0,neuron
510,1,glial cells
511,0,neuron
512,1,glial cells
513,0,neuron
514,0,neuron
515,0,neuron
516,1,glial cells
517,0,neuron
518,0,neuron
519,1,glial cells
520,1,glial cells
521,0,neuron
522,0,neuron
523,0,neuron
524,0,neuron
525,0,neuron
526,1,glial cells
527,1,glial cells
528,0,neuron
529,0,neuron
530,1,glial cells
531,0,neuron
532,0,neuron
533,0,neuron
534,0,neuron
535,0,neuron
536,0,neuron
537,0,neuron
538,0,neuron
539,0,neuron
540,0,neuron
541,0,neuron
542,0,neuron
543,0,neuron
544,0,neuron
545,0,neuron
546,0,neuron
547,1,glial cells
548,0,neuron
549,0,neuron
550,1,glial cells
551,0,neuron
552,1,glial cells
553,0,neuron
554,0,neuron
555,0,neuron
556,0,neuron
557,0,neuron
558,0,neuron
559,0,neuron
560,0,neuron
561,1,glial cells
562,0,neuron
563,0,neuron
564,0,neuron
565,0,neuron
566,1,glial cells
567,0,neuron
568,1,glial cells
569,1,glial cells
570,0,neuron
571,1,glial cells
572,0,neuron
573,0,neuron
574,1,glial cells
575,0,neuron
576,0,neuron
577,0,neuron
578,1,glial cells
579,1,glial cells
580,0,neuron
581,1,glial cells
582,1,glial cells
583,0,neuron
584,0,neuron
585,0,neuron
586,0,neuron
587,0,neuron
588,0,neuron
589,0,neuron
590,0,neuron
591,0,neuron
592,0,neuron
593,1,glial cells
594,0,neuron
595,0,neuron
596,0,neuron
597,0,neuron
598,0,neuron
599,0,neuron
600,0,neuron
601,0,neuron
602,0,neuron
603,0,neuron
604,0,neuron
605,0,neuron
606,0,neuron
607,0,neuron
608,0,neuron
609,0,neuron
610,0,neuron
611,0,neuron
612,0,neuron
613,0,neuron
614,0,neuron
615,0,neuron
616,0,neuron
617,0,neuron
618,0,neuron
619,0,neuron
620,0,neuron
621,0,neuron
622,0,neuron
623,0,neuron
624,0,neuron
625,1,glial cells
626,0,neuron
627,0,neuron
628,0,neuron
629,0,neuron
630,0,neuron
631,0,neuron
632,0,neuron
633,0,neuron
634,0,neuron
635,0,neuron
636,0,neuron
637,0,neuron
638,0,neuron
639,0,neuron
640,0,neuron
641,0,neuron
642,0,neuron
643,0,neuron
644,0,neuron
645,0,neuron
646,0,neuron
647,0,neuron
648,0,neuron
649,0,neuron
650,1,glial cells
651,0,neuron
652,0,neuron
653,0,neuron
654,0,neuron
655,0,neuron
656,0,neuron
657,0,neuron
658,0,neuron
659,0,neuron
660,0,neuron
661,0,neuron
662,0,neuron
663,0,neuron
664,0,neuron
665,0,neuron
666,0,neuron
667,0,neuron
668,1,glial cells
669,0,neuron
670,0,neuron
671,0,neuron
672,0,neuron
673,0,neuron
674,0,neuron
675,0,neuron
676,0,neuron
677,0,neuron
678,0,neuron
679,0,neuron
680,0,neuron
681,0,neuron
682,0,neuron
683,0,neuron
684,0,neuron
685,1,glial cells
686,0,neuron
687,0,neuron
688,0,neuron
689,0,neuron
690,0,neuron
691,2,Endo
692,0,neuron
693,0,neuron
694,0,neuron
695,1,glial cells
696,0,neuron
697,0,neuron
698,0,neuron
699,0,neuron
700,0,neuron
701,0,neuron
702,0,neuron
703,0,neuron
704,0,neuron
705,0,neuron
706,0,neuron
707,0,neuron
708,0,neuron
709,0,neuron
710,0,neuron
711,0,neuron
712,0,neuron
713,0,neuron
714,1,glial cells
715,0,neuron
716,0,neuron
717,1,glial cells
718,2,Endo
719,0,neuron
720,0,neuron
721,1,glial cells
722,0,neuron
723,0,neuron
724,1,glial cells
725,1,glial cells
726,0,neuron
727,0,neuron
728,0,neuron
729,0,neuron
730,0,neuron
731,0,neuron
732,0,neuron
733,0,neuron
734,0,neuron
735,1,glial cells
736,0,neuron
737,0,neuron
738,0,neuron
739,0,neuron
740,0,neuron
741,2,Endo
742,0,neuron
743,0,neuron
744,0,neuron
745,2,Endo
746,0,neuron
747,0,neuron
748,0,neuron
749,1,glial cells
750,0,neuron
751,0,neuron
752,0,neuron
