X,Y
9218.84751,6442.484291
9316.114338,6444.557169
10335.07257,6443.162554
10965.33137,6441.503538
8986.809432,6444.45717
9488.595628,6444.860656
9459.817857,6446.910714
8837.526488,6442.098757
8896.6158,6440.424926
9376.873487,6440.89549
9536.1989,6444.532539
9643.521466,6439.602094
11332.37989,6444.776536
8454.255985,6439.224678
9584.54797,6442.225092
9733.651976,6441.034954
9995.65499,6440.107733
8745.336117,6438.941545
9403.696319,6437.254601
11432.5196,6437.747684
8686.438792,6435.521463
9043.039409,6436.544335
9620.046089,6433.022346
10057.06759,6440.688276
10112.62577,6436.108247
9263.378594,6437.301917
9062.525641,6432.950549
9678.610329,6430.239437
8580.293073,6429.824156
9119.462077,6429.320887
9297.864341,6429.976744
9753.518617,6428.180851
10992.88114,6431.30865
9145.847981,6431.937055
9453.481481,6429.253968
9174.024242,6429.311111
9199.319527,6429.171598
9480.995238,6424.694048
8623.684478,6426.668848
8769.181655,6431.688849
9021.474616,6424.317591
10204.44157,6427.889299
8943.437443,6422.819178
11315.91386,6423.620458
8998.916515,6424.471869
8479.667647,6423.716667
9567.174439,6422.455959
10883.14099,6422.796345
8701.561181,6422.934599
9380.844203,6422.235507
10064.37824,6419.971503
10092.98894,6420.544248
11264.51791,6422.553723
9273.653039,6416.192265
10013.447,6417.396313
10034.82031,6418.342188
8720.505022,6420.045911
9406.708268,6417.564743
9334.568936,6414.049522
11213.83485,6415.340547
10932.09717,6413.810954
8754.284065,6414.505774
8811.298056,6414.898488
8732.867454,6405.792651
8975.134978,6411.590711
9081.978404,6412.897421
10244.55431,6413.676293
11365.13753,6412.29563
11171.26337,6411.614973
8553.591682,6410.148078
9043.745989,6408.762032
9206.885473,6410.00538
8675.695844,6406.769231
9545.42983,6402.136817
9821.839657,6408.985312
9306.969582,6403.551331
9590.861295,6404.443857
9868.811881,6405.089109
9003.368771,6402.345515
9238.16129,6401.523041
10336.84472,6406.898551
11082.76355,6406.248645
8886.14168,6404.332784
9427.683181,6399.774446
10084.32135,6400.766292
11395.90578,6402.254818
11429.7292,6402.433628
8646.195175,6400.513158
8857.417582,6401.169907
10056.70113,6399.084586
9111.728027,6401.227197
9661.005226,6398.400697
9915.985537,6399.596074
8818.019694,6396.067834
10982.17696,6394.942408
9968.852703,6398.02027
11319.84419,6395.032558
9473.513069,6395.168441
9938.985447,6394.700624
11298.10222,6394.09037
8744.246654,6387.365201
10318.38442,6387.08658
8612.091102,6388.35911
9027.245695,6389.458094
9139.308387,6393.547097
9286.805357,6390.366071
8586.722444,6394.505976
10180.76077,6392.585438
9401.443396,6392.069182
11252.70626,6388.339093
11276.18519,6391.843137
10210.99247,6391.980645
8483.547809,6385.243526
9374.695785,6389.391571
9822.875494,6383.846838
8987.634769,6387.025518
9194.74184,6392.317507
10260.63525,6383.839246
9586.161074,6379.25906
9181.555283,6383.589681
9215.783784,6380.206388
9607.975477,6385.00545
11152.95775,6384.600939
9112.77709,6376.758514
11376.21444,6380.452954
8906.929262,6382.376812
9088.707641,6380.284053
11188.5142,6381.312373
9010.130102,6375.622449
9408.950749,6377.436831
8535.8434,6381.671141
8957.744444,6376.933333
9441.849265,6378.663603
9960.374625,6375.080919
9060.198783,6376.302231
9144.517471,6373.041597
9331.047619,6377.460714
11278.12046,6371.379538
9270.897109,6372.106293
9561.372093,6372.786822
10041.31171,6374.461213
8668.93686,6373.711604
8794.486093,6370.969619
8936.704403,6367.399371
10065.91211,6364.017578
10191.33067,6368.481333
8555.032158,6367.228216
9633.628733,6371.727199
11236.91113,6372.826941
9537.460417,6367.502083
8598.629857,6364.783231
8842.892628,6368.525641
9463.646739,6366.095109
11333.05909,6369.322292
8641.141204,6366.871528
9185.509511,6363.44837
9608.563889,6364.125
8522.291933,6364.165173
9039.722603,6365.893836
9429.70017,6363.964225
11163.34746,6366.792373
8980.015686,6366.813725
9498.094604,6368.457695
11429.89197,6364.657744
8864.582192,6366.244292
9386.953291,6362.545648
9024.244731,6353.512881
9682.820602,6361.826389
11148.78766,6357.912886
11178.39521,6360.700599
9341.304878,6357.25813
10224.24178,6351.685039
11218.97178,6355.315697
9239.852035,6355.446363
11262.78075,6354.265597
9587.855769,6353.629808
8706.384511,6355.873641
9083.602116,6354.655026
10134.0638,6359.457031
10167.56291,6360.552727
11197.35314,6350.349835
8754.002973,6350.154609
8484.044393,6347.279206
8990.6736,6346.9832
9271.841808,6346.427966
10881.63865,6349.584055
11018.48706,6349.049908
8582.517857,6345.728175
8857.106332,6344.18638
9149.13121,6344.963057
9413.917438,6343.606481
10105.25867,6351.958092
10988.4637,6347.655738
8684.524072,6353.899587
10337.03805,6344.034531
9208.604122,6342.877754
9053.52231,6342.204724
10917.62362,6344.130996
8929.270936,6345.605911
9375.316956,6344.473025
10139.94566,6338.959538
11321.20624,6341.403567
11126.30435,6342.54212
8897.631387,6332.786861
9611.099274,6341.607748
11176.25806,6340.017742
9339.580838,6339.092814
10064.40541,6340.291291
11256.75049,6335.124756
8545.348677,6337.463751
9488.343361,6334.636929
10082.99332,6337.644407
9632.920962,6335.21764
11348.30318,6331.630219
9538.560595,6338.990335
9848.064516,6334.774194
8516.867516,6335.342675
9679.361361,6332.065065
11293.23402,6329.179735
9178.926593,6334.15097
10045.52569,6328.862385
11064.28821,6334.746791
8813.307692,6334.176179
9572.974233,6331.004908
8672.502283,6323.93242
9307.086322,6328.929525
10301.13656,6331.136559
11153.36986,6328.693649
10104.79651,6326.139535
10961.99907,6327.34537
11093.86574,6327.961806
8932.291765,6325.632941
9097.429818,6330.337034
9353.457325,6323.478981
10261.98361,6326.155738
11217.68558,6325.07565
9235.855629,6325.015894
10160.11111,6323.607682
9044.40566,6321.462264
9601.678981,6323.151592
8785.958942,6323.237996
9259.068075,6321.406103
11175.72711,6316.754579
11066.6594,6310.54698
9379.596369,6315.952514
9725.503883,6316.630716
10130.06678,6313.501629
10850.77825,6318.260232
11131.96082,6316.694357
8554.697051,6314.991957
10389.90917,6313.893143
8611.88012,6313.985015
9410.191748,6312.286408
8984.71185,6308.486664
11196.4449,6313.367347
8494.208405,6313.721269
11249.86357,6315.247539
9080.74938,6302.044665
8949.467378,6309.123369
9503.398039,6308.997059
10071.19718,6306.054326
8830.406096,6317.781711
9058.052061,6306.828633
9579.687861,6310.794798
10278.07772,6307.164508
10321.40971,6310.985056
11274.07656,6307.859375
9134.353383,6309.785177
8579.031351,6309.695135
8640.617904,6300.958515
9186.513194,6304.807097
10009.27456,6312.204734
11083.04651,6304.20155
8760.015385,6304.823077
9214.183521,6304.865169
10214.39896,6303.932642
10353.25032,6308.002581
9233.774026,6301.041558
8882.643998,6303.456535
9258.318841,6301.162641
11107.25746,6302.977612
8528.432084,6302.708431
8737.287529,6300.724018
8812.079051,6297.644269
10105.81859,6302.170915
8924.728723,6297.029787
9289.354934,6296.960236
10169.6396,6297.396011
10828.5694,6296.713523
9574.238202,6294.179775
9359.0975,6298.215
9951.107206,6296.863796
10148.84967,6294.522876
10932.28558,6302.360624
11220.53238,6293.34456
11293.75562,6292.399804
9991.919204,6290.468384
10024.45533,6290.552109
11141.13221,6296.233173
11247.24429,6291.854286
9158.769324,6284.076087
9376.422111,6288.015075
10375.02014,6289.591367
11194.74555,6292.229537
9627.911145,6288.243976
10305.21459,6289.731044
11166.73642,6290.232394
8699.465909,6299.352273
11391.02112,6288.909017
8779.940331,6287.103867
9019.244344,6291.911011
8603.495674,6287.433869
9528.265537,6287.101695
10336.03108,6288.303473
10853.29551,6284.337905
11133.14485,6283.760446
9348.306513,6286.172414
9719.704587,6287.420183
8505.124671,6283.971905
8685.038285,6284.972435
8716.924699,6283.243976
8844.332884,6285.609164
9266.889339,6278.159244
9403.002782,6289.041725
9451.243363,6286.261062
10985.53686,6283.200321
11114.63663,6282.06686
11087.59845,6286.562176
9303.12749,6281.717131
9217.031039,6279.08502
9925.062919,6276.822987
9714.90113,6272.864407
8819.702087,6275.814042
9091.230769,6274.7373
9121.05042,6275.095798
9189.936232,6278.133333
10115.75286,6273.120539
8664.311373,6272.858824
9241.625659,6276.630931
9400.613365,6268.355609
8468.45873,6273.293651
8999.004342,6270.917511
10085.54514,6276.286458
11074.27536,6271.795652
10312.5793,6270.429515
8887.274468,6271.489362
9361.892929,6269.280808
10283.66535,6269.816929
10359.04853,6267.076845
11102.10547,6268.136719
11189.55738,6270.374317
11213.97778,6266.861111
11239.24303,6268.148738
9559.436198,6267.782552
10329.34133,6263.95941
11443.06351,6268.607583
9610.538869,6264.938163
9583.765043,6266.200573
10056.2931,6268.72069
9027.778325,6263.440066
8796.411301,6264.11958
9060.879859,6267.030624
10077.37255,6261.392157
11130.70923,6263.526154
8915.417772,6264.425729
11166.10287,6265.911483
9423.182844,6261.273138
9455.747263,6262.058394
9250.301802,6257.108108
9327.883495,6258.990291
9878.421935,6259.339355
10012.12008,6259.929875
10941.38739,6260.092342
8958.970677,6260.862487
10138.52941,6257.733193
8590.578238,6261.309845
9708.79063,6255.057101
8746.932367,6258.472222
9184.734754,6254.75074
9527.193576,6255.773457
8637.598647,6251.317926
8884.951754,6254.548246
8544.179141,6252.623313
9152.765748,6253.527559
8569.900971,6247.81165
10825.06113,6250.234141
10905.37691,6252.716273
9117.198758,6248.906832
10344.07704,6244.18963
11117.4451,6247.020772
8871.494297,6251.136882
9279.904952,6246.886581
9502.6231,6246.966565
11099.18634,6246.130435
