X,Y
935.4272463,2535.858258
938.3505604,2453.827185
944.1612057,2514.274329
942.0206499,2392.668177
951.64935,2392.131835
953.1417875,2548.750723
973.2198502,2460.317678
974.7219304,2563.580669
974.2323407,2514.057789
979.841931,2420.833922
983.9976716,2475.232714
987.721257,2465.510106
989.955668,2483.904746
989.5599355,2420.241323
994.9487636,2516.63487
1000.972606,2423.691666
1011.755481,2487.404527
1015.958573,2543.295634
1019.598352,2518.199753
1033.800553,2554.027902
1050.754104,2443.478137
1053.849091,2450.228667
1070.477068,2506.476616
1076.652876,2499.260451
1081.454883,2497.150987
1087.028626,2500.239275
1097.05808,2503.51082
1105.698813,2502.713368
1107.455318,2460.132228
1112.402237,2544.295605
1121.581592,2452.717635
938.3052167,2479.529052
956.4969099,2399.603473
964.8060459,2404.872337
1014.41568,2425.810506
1034.784406,2497.295766
1047.295313,2438.810108
1046.254601,2497.129698
1075.345445,2492.442514
1087.839417,2439.243474
1116.807603,2497.56823
1119.851483,2484.133752
1030.692795,2455.752648
1055.620729,2549.428694
1064.829733,2507.763144
1101.369153,2572.578867
1107.572471,2480.720475
1073.423915,2513.339626
960.1691903,2465.319932
1020.588805,2459.67806
1043.207975,2473.597652
1054.310691,2495.236672
1070.573026,2437.276417
1076.336503,2441.608559
1101.335896,2441.422284
1101.566658,2449.984623
936.6995214,2738.936427
953.3528079,2653.039736
954.7659004,2701.510981
963.2112731,2591.167513
967.8410075,2631.985243
967.3415318,2745.784934
973.4277401,2764.931728
982.3717448,2684.748522
989.0143041,2635.96052
993.9217669,2770.743824
994.5747135,2591.145294
1007.445061,2764.043374
1013.428874,2719.670111
1016.704405,2618.910847
1018.091972,2690.692132
1021.289899,2737.865143
1023.532974,2650.363097
1029.373309,2607.933666
1033.050852,2628.501336
1033.619842,2753.454606
1032.713017,2763.336061
1033.590858,2672.619864
1040.140819,2605.861927
1044.618235,2686.907983
1046.546665,2694.287589
1052.686242,2675.413579
1049.852571,2688.627976
1061.124017,2649.313323
1064.09114,2681.576906
1064.618796,2673.929718
1065.487441,2601.217793
1075.750039,2622.380021
1073.802103,2750.064814
1092.417105,2765.660185
1090.730465,2600.880891
1100.592111,2689.54485
1114.062074,2638.833501
938.2505265,2676.178256
969.387061,2611.098201
993.4395867,2647.757804
1001.654031,2664.617263
1014.312343,2636.51238
1054.349882,2605.656445
1058.272714,2622.395079
1075.84055,2692.049894
1093.526051,2666.138623
1099.662076,2725.755441
1108.63896,2708.814332
943.1083197,2738.81377
999.0566512,2726.247003
1044.728977,2628.671
1056.281028,2713.609546
1064.648224,2700.398199
1063.084312,2743.776801
1070.940404,2707.363484
1093.899296,2757.387524
1111.990061,2688.49468
1002.980801,2593.790486
968.245549,2735.334567
947.3043295,2920.121472
954.1476289,2879.382526
964.4220787,2856.913943
970.9104908,2893.458821
978.4519099,2918.038079
986.8590851,2838.359928
982.8959065,2933.888462
997.595931,2918.174779
1006.731298,2955.571061
1018.10584,2963.917587
1027.456112,2817.979432
1029.456039,2939.83392
1030.169594,2924.975602
1033.36566,2853.133371
1032.491446,2887.748351
1044.878891,2820.737857
1057.003423,2952.631847
1056.093451,2970.263464
1060.611898,2827.925655
1065.185017,2921.82493
1066.280394,2940.084426
1076.933753,2937.47301
1078.80117,2954.376366
1083.488196,2842.714953
1096.752181,2943.824597
1108.143757,2943.014098
1119.837213,2862.262245
1121.03995,2916.120101
963.2881254,2941.268638
971.5978521,2935.979558
979.6641932,2870.226241
1004.133542,2877.576861
1013.644258,2894.406317
1042.30402,2959.314755
1056.148447,2802.428519
1071.463599,2890.009647
1104.205364,2954.471716
1111.316511,2848.039303
1016.604164,2850.037739
1027.469666,2837.799489
1032.943085,2794.017019
1038.213212,2807.87692
1063.154501,2899.914275
1082.014805,2933.686454
1101.118172,2786.887277
1087.470753,2862.463251
1095.430783,2876.171746
1100.235183,2922.035397
993.7732334,2919.687153
1114.019162,2787.106529
936.8848329,3008.323033
941.3243114,3140.334661
950.8461536,3152.576118
958.3055002,3005.839615
953.661832,3123.910431
958.3442141,3029.06435
960.3068952,3146.954279
966.884015,3042.824924
971.5287093,3073.799551
972.3764087,3099.674659
982.4249809,3016.434582
998.4391567,2993.298745
1008.719439,3156.947405
1008.645461,3170.975824
1012.833715,3144.674536
1015.901852,3084.927313
1017.821649,3049.048718
1027.000474,3010.314029
1033.367693,3137.429728
1040.431352,3118.385817
1048.540278,3071.015882
1049.264931,3030.72984
1053.691464,3145.865031
1055.646709,2990.481794
1062.606757,3019.231301
1061.775596,3081.53893
1059.81656,3059.721289
1066.006752,3055.456307
1074.827061,3159.729838
1091.953001,2998.472544
1096.989999,2982.943219
1096.834754,3120.687009
1102.863227,3013.557985
1109.621606,3164.262184
1116.39585,3146.314688
1118.396595,2990.552325
958.5138902,3130.266899
974.1713998,3150.144914
1014.830322,3153.731356
1067.809879,3139.985162
1075.346415,3096.415986
1006.818851,3071.479244
1012.881983,2998.733406
