4931431F19Rik
4932429P05Rik
Abca15
Abca9
Adcy4
Aldh3b2
Ankle1
Ano7
Anxa9
Arhgef26
B3gat2
Barhl1
Bcl2l14
Blzf1
Bmpr1b
Capn13
Cdc5l
Cdc6
Cdh1
Cecr2
Cilp
Clec5a
Creb1
Creb3l1
Csf2rb2
Ctla4
Cyp2c70
Cyp2j5
Dbx1
Dcstamp
Ddb2
Egln3
Fam69c
Fbll1
Foxa1
Foxa2
Foxd1
Foxd4
Galnt3
Gata6
Gdf2
Gdf5
Gm15688
Gm6377
Gm805
Gpc4
Gpr114
Gykl1
Hdx
Hn1l
Hnf1a
Hoxb3
Hoxb8
Hyal5
Kif16b
Laptm5
Lefty2
Lhx3
Lhx4
Lmod1
Mertk
Mgam
Mmgt1
Mmp8
Mrgprb1
Murc
Nell1
Neurod4
Neurog1
Nfkb2
Nfkbiz
Nhlh1
Nkd2
Nlrp12
Npy2r
Obsl1
Olr1
Osr2
Pld1
Pld5
Poln
Ppp1r3b
Psmd5
Rbm31y
Rrm2
Scml2
Senp1
Serpinb11
Sis
Slc4a8
Slc6a16
Spag6
Sumf2
Tnfrsf1b
Vmn1r65
Vps13c
Wrn
Zfp182
Zfp715
Zfp90
cpne5
nes
acta2
gja1
omg
nov
col5a1
dcx
itpr2
rhob
sox2
cldn5
mrc1
tbr1
pax6
calb1
gda
slc5a7
sema3e
mfge8
lyve1
loxl1
slco1c1
amigo2
kcnip
